branch,category,age_days,changed_lines,files_changed,last_commit_subject,compare_url
origin/claude/unlinked-nodes-fix-afeeb3437-rescue-20260816,candidate,20,69,4,未接続ノード修復：ofSongId欠落・CMタイアップ元の追加（未pushだった作業を保全）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/unlinked-nodes-fix-afeeb3437-rescue-20260816
origin/claude/cover-cleanup-0816,candidate,19,190,7,docs: 案件#68をカタログ全件機械監査へミッション拡大（店主指示2026-08-16）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/cover-cleanup-0816
origin/claude/ogp-image-fallback-0819-clean,candidate,17,59,4,/watchページのog:imageにも死亡動画ガードを追加(案件#109 続き),https://github.com/tamago2022/joy-relief-station/compare/main...claude/ogp-image-fallback-0819-clean
origin/claude/related-cards-dismiss-0819,candidate,17,214,2,style: eslint --fixによるprettier整形(TASK_BOARD#110・独立検品指摘分),https://github.com/tamago2022/joy-relief-station/compare/main...claude/related-cards-dismiss-0819
origin/claude/shelf-badge-unify-0819,candidate,17,189,4,style: eslint --fixによるprettier整形(TASK_BOARD#104/#105・独立検品指摘分),https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-badge-unify-0819
origin/claude/shelf-dedupe-0819,candidate,17,145,4,fix: 棚編集ピッカーの重複表示を解消(踊る阿呆等・TASK_BOARD#101),https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-dedupe-0819
origin/copy/inochi-no-uta-related-0819,candidate,17,8,1,copy: いのちの歌ページ下部4曲の関連コピーを書き直す,https://github.com/tamago2022/joy-relief-station/compare/main...copy/inochi-no-uta-related-0819
origin/claude/citypop-copy-rewrite-0819,candidate,16,140,3,検品指摘を反映：真夏の夜の夢に編曲者(松任谷正隆)の裏方名を追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/citypop-copy-rewrite-0819
origin/claude/monkey-magic-dedupe-and-food-leak-0820,candidate,16,24,2,fix: MONKEY MAGICページの食べ物・無関係アーティスト混入を根本修理、Xania Monetを追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/monkey-magic-dedupe-and-food-leak-0820
origin/claude/natsu-no-owari-hot-push-0819,candidate,16,26,3,井上陽水『夏の終わりのハーモニー』ページ強化：複数アーティスト紐付け・熱いコピー・おすすめ4曲化,https://github.com/tamago2022/joy-relief-station/compare/main...claude/natsu-no-owari-hot-push-0819
origin/claude/rec-contamination-fkj-ladder-0819,candidate,16,119,4,fix: 曲ページおすすめの扉またぎ混入を修正・AIカバーは仕入れ自由/棚出しは線引き・FKJ階段実装,https://github.com/tamago2022/joy-relief-station/compare/main...claude/rec-contamination-fkj-ladder-0819
origin/claude/shelf-audit-fix-0819,candidate,16,74,5,fix: 棚卸し監査で発覚した3種の棚欠落バグを修正(2026-08-19),https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-audit-fix-0819
origin/claude/tears-door-2026-08-20,candidate,16,95,6,feat: バレリーナ実話動画を「涙」「驚き」「癒しの音楽」に横断配置,https://github.com/tamago2022/joy-relief-station/compare/main...claude/tears-door-2026-08-20
origin/claude/volare-genius-shelf-0820,candidate,16,102,3,feat: Volare原曲ページを新設し、Jacob Collier・松崎しげるへ双方向で接続＋「天才」棚を新設,https://github.com/tamago2022/joy-relief-station/compare/main...claude/volare-genius-shelf-0820
origin/claude/artist-page-merge-tatsuro-0821,candidate,15,30,1,fix: アーティストページ統合(山下達郎4分冊+Céline Dion+Fishmans)+混入除去(本番品質監視0821・案件#131),https://github.com/tamago2022/joy-relief-station/compare/main...claude/artist-page-merge-tatsuro-0821
origin/claude/dead-video-patrol-restore-0821-v2,candidate,15,2,1,fix: 削除済みYouTube動画(sg-9476qrzg)をDEAD_YOUTUBE_IDSへ追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/dead-video-patrol-restore-0821-v2
origin/claude/ingest-name-collision-guard-0821,candidate,15,57,1,fix: 仕入れ時の名前一致誤仕入れ・ゴシップ動画混入を恒久ガード(本番品質監視0821・案件#130),https://github.com/tamago2022/joy-relief-station/compare/main...claude/ingest-name-collision-guard-0821
origin/claude/mariya-merge-tatsuro-streaming-0821,candidate,15,2,1,fix(coverGuide): 竹内まりや重複ページ統合の残存重複を除去,https://github.com/tamago2022/joy-relief-station/compare/main...claude/mariya-merge-tatsuro-streaming-0821
origin/claude/quality-monitor-0821-integrated,candidate,15,126,4,Merge remote-tracking branch 'origin/claude/artist-page-merge-tatsuro-0821' into claude/quality-monitor-0821-integrated,https://github.com/tamago2022/joy-relief-station/compare/main...claude/quality-monitor-0821-integrated
origin/claude/noristry-unpublish-0821-v2,candidate,15,22,3,fix: NORISTRYページを非公開化(HIDDEN_ARTIST_IDS新設、可逆)(本番品質監視0821・案件#132),https://github.com/tamago2022/joy-relief-station/compare/main...claude/noristry-unpublish-0821-v2
origin/claude/shelf-url-dedupe-redirect-0821,candidate,15,23,1,fix: 棚URL重複(music/dance等↔dance/dance等)をリダイレクトで一本化(本番品質監視0821・案件#130),https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-url-dedupe-redirect-0821
origin/claude/shelf-content-cleanup-0821,candidate,15,14,1,fix: フィッシュマンズ・ラーメンズの棚汚染6件を除去(本番品質監視0821・案件#130),https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-content-cleanup-0821
origin/claude/sade-smooth-operator-once-0822,candidate,14,143,2,feat: Sade Smooth Operatorをライブ版へ差し替える一度きり便を追加(店主報告2026-08-22),https://github.com/tamago2022/joy-relief-station/compare/main...claude/sade-smooth-operator-once-0822
origin/codex/issue-16-wakamono-story,candidate,13,76,1,feat: recut Wakamono no Subete as a five-part story,https://github.com/tamago2022/joy-relief-station/compare/main...codex/issue-16-wakamono-story
origin/codex/aoi-sangosho-song-relay,candidate,13,221,4,Tighten fact-safe social copy,https://github.com/tamago2022/joy-relief-station/compare/main...codex/aoi-sangosho-song-relay
origin/codex/openai-editorial-company,candidate,13,115,2,Load editorial company protocol at startup,https://github.com/tamago2022/joy-relief-station/compare/main...codex/openai-editorial-company
origin/fix/en-dust-hero-copy,candidate,13,10,1,fix(i18n): translate Dust hero copy in English,https://github.com/tamago2022/joy-relief-station/compare/main...fix/en-dust-hero-copy
origin/claude/wakamono-subete-page-0822,candidate,13,40,4,若者のすべてページ：残りのスラッグ参照をfujifabric/wakamono-no-subeteへ統一,https://github.com/tamago2022/joy-relief-station/compare/main...claude/wakamono-subete-page-0822
origin/codex/seiko-story-immersive,candidate,12,110,1,fix: restore template literals in story video,https://github.com/tamago2022/joy-relief-station/compare/main...codex/seiko-story-immersive
origin/dispatch/20260826-reco-context-fix,candidate,10,97,1,dispatch: fix contextual recommendation quality,https://github.com/tamago2022/joy-relief-station/compare/main...dispatch/20260826-reco-context-fix
origin/ops/ci-never-stall,candidate,10,151,1,ops: add CI failure recovery loop,https://github.com/tamago2022/joy-relief-station/compare/main...ops/ci-never-stall
origin/prototype/curiosity-journey,candidate,10,57,1,fix: remove unused curiosity imports,https://github.com/tamago2022/joy-relief-station/compare/main...prototype/curiosity-journey
origin/prototype/nephew-taste-journey,candidate,10,91,1,prototype: add personalized cross-domain taste journey demo,https://github.com/tamago2022/joy-relief-station/compare/main...prototype/nephew-taste-journey
origin/claude/final-view-player-thumbnail-fix,candidate,5,18,2,fix: The Final View/Nujabes特集の再生ブロックが空箱になる不具合を修理（店主本番発見）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/final-view-player-thumbnail-fix
origin/claude/final-view-visual-fixes,candidate,5,41,2,fix: The Final View特集のデザイン指摘3件を修正（店主指摘・CSS図形/文字のみ禁止）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/final-view-visual-fixes
origin/claude/final-view-ship-0830,candidate,5,290,2,SOUNDSCAPE特集「The Final View」を完成版へ差し替え（本文拡張＋事実誤り修正）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/final-view-ship-0830
origin/claude/youtube-key-format-guard,candidate,5,45,2,fix: APIキー保存欄に形式チェックを追加(誤上書き事故の再発防止),https://github.com/tamago2022/joy-relief-station/compare/main...claude/youtube-key-format-guard
origin/claude/ai-buddha-correction,candidate,4,61,3,AI BUDDHA訂正版を反映: 真実は80億人分ある/AIにしかできない理由,https://github.com/tamago2022/joy-relief-station/compare/main...claude/ai-buddha-correction
origin/claude/ai-buddha-final,candidate,4,53,3,AI BUDDHA最終版: 二層構造/消耗しない理由/過剰同調の危険/フィジカルAI後回し,https://github.com/tamago2022/joy-relief-station/compare/main...claude/ai-buddha-final
origin/fix/song-override-thumbnail-hito-ni-yasashiku,candidate,4,19,1,fix: 曲一覧・コラボ曲カードのサムネに「動画を差し替え」を反映,https://github.com/tamago2022/joy-relief-station/compare/main...fix/song-override-thumbnail-hito-ni-yasashiku
origin/claude/chatgpt-handoff-20phrases-0901,candidate,3,105,3,add: 『20 Little Phrases that Make Japanese Smile』企画をGitHub共通脳へ昇格,https://github.com/tamago2022/joy-relief-station/compare/main...claude/chatgpt-handoff-20phrases-0901
origin/claude/shelf-card-play-here-0903,candidate,2,41,1,feat(棚カード): 「▶ ここで聴く」— ページ遷移せずその場（MiniPlayer）で再生（試作・店主確認待ち）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-card-play-here-0903
origin/claude/nostalgia-bridge-0903-v2,candidate,1,150,8,docs: 公開・回収担当メールボックスへ案件#154のPR代行依頼を追記,https://github.com/tamago2022/joy-relief-station/compare/main...claude/nostalgia-bridge-0903-v2
origin/claude/q314-lately-layout,candidate,0,200,2,fix: 曲ページの構成をLatelyで決めきる(案件314・Step1),https://github.com/tamago2022/joy-relief-station/compare/main...claude/q314-lately-layout
origin/rescue/17-doors-sheet-lowpoly-cards,merged,54,0,0,feat: 17号救出 — 扉シートの4カードをトップ大扉と同じローポリ画像カードに差し替え,https://github.com/tamago2022/joy-relief-station/compare/main...rescue/17-doors-sheet-lowpoly-cards
origin/agent/task-106-work,merged,52,0,0,chore(tamago): 予約台帳を自動更新,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-106-work
origin/agent/task-96-manager-guard,merged,52,0,0,Merge pull request #101 from tamago2022/agent/task-96-audit-dashboard,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-96-manager-guard
origin/agent/task-172-work,merged,48,0,0,chore(tamago): 予約台帳を自動更新,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-172-work
origin/agent/world-expert-guilds,merged,31,0,0,Claude共通脳へ専門家ギルドと実装優先を追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/world-expert-guilds
origin/agent/plurality-roundtable-v1,merged,30,0,0,動画見回りを継続的な巡回項目として強化：停止監視・取りこぼし修理・再試行追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/plurality-roundtable-v1
origin/agent/task-130-nujabes-ai-router,merged,5,0,0,fix: Nujabes特集ページのESLint指摘を解消（案件#130・検品対応）,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-130-nujabes-ai-router
origin/feature/nujabes-legacy-remake,merged,5,0,0,NUJABES特集を全面改稿：称える構成へ（逆さ読みの名前・Spotify3位・サンプリングの系譜・代表曲6本・Shing02ライブで締め）,https://github.com/tamago2022/joy-relief-station/compare/main...feature/nujabes-legacy-remake
origin/claude/hub-spoke-connect-0831,merged,4,0,0,名カバーのハブ&スポーク双方向接続10件 + 新規仕入れ2曲,https://github.com/tamago2022/joy-relief-station/compare/main...claude/hub-spoke-connect-0831
origin/claude/taste-entry-cover-guide-clean,merged,4,0,0,fix: 反応後の案内文が常に汎用文言に落ちるバグを修理(実機テストで発見),https://github.com/tamago2022/joy-relief-station/compare/main...claude/taste-entry-cover-guide-clean
origin/fix/mobile-tap-usability,merged,3,0,0,fix(mobile): タップが効かない2大要因を修正——透明バーのタップ吸収と14pxアイコン,https://github.com/tamago2022/joy-relief-station/compare/main...fix/mobile-tap-usability
origin/claude/badge-unify-0902,merged,2,0,0,バッジ統一と即時反映（29回目の恒久対策）：CardBadges1部品へ集約・棚ページにバッジ・付け外し/削除の即時反映・見張り追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/badge-unify-0902
origin/claude/bidir-link-fix-0903,merged,2,0,0,fix: 片道リンク11件を双方向化（店主の最重要原則「片道は50点、双方向で100点」・19回以上の指摘）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/bidir-link-fix-0903
origin/claude/publish-btn-prefix-0902,merged,2,0,0,fix(publish便): 「変更を公開」は表示中の要素だけを掴む（非表示の重複でisVisible=falseになっていた）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/publish-btn-prefix-0902
origin/claude/shelf-reorder-ui-0903,merged,2,0,0,fix: 棚編集に並び替えUIを追加（「2曲目に入れて」が反映されない・9回以上の再発を解消）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/shelf-reorder-ui-0903
origin/fix/ci-heap-size,merged,2,0,0,fix(ビルド): Nitro/CloudflareビルドのNode.jsヒープ上限を明示的に増やす,https://github.com/tamago2022/joy-relief-station/compare/main...fix/ci-heap-size
origin/fix/search-revert-normindex-oom,merged,2,0,0,revert(検索): 正規化インデックス事前計算を撤回（CIビルドがメモリ不足クラッシュ）,https://github.com/tamago2022/joy-relief-station/compare/main...fix/search-revert-normindex-oom
origin/fix/t020-animal-misclassification,merged,2,0,0,T020: 曲名/バンド名の一部一致による動物誤分類を防ぐ例外リストを追加,https://github.com/tamago2022/joy-relief-station/compare/main...fix/t020-animal-misclassification
origin/perf/search-coldstart-index,merged,2,0,0,perf(検索): コールドスタート2579ms→事前計算+gzip圧縮で高速化,https://github.com/tamago2022/joy-relief-station/compare/main...perf/search-coldstart-index
origin/perf/search-normindex-forms,merged,2,0,0,perf(検索): 正規化インデックスとFormsを事前計算し検索実行そのものを高速化,https://github.com/tamago2022/joy-relief-station/compare/main...perf/search-normindex-forms
origin/claude/amateur-cover-audit-v2-0903,merged,1,0,0,T006恒久検出の禁止ワードを拡張し、全件を目視確認して紛れ込み0件を確認,https://github.com/tamago2022/joy-relief-station/compare/main...claude/amateur-cover-audit-v2-0903
origin/claude/amelie-db-secrets-note-0903,merged,1,0,0,docs: DB secrets欠如の判断メモを追記（アメリ棚卸し・ドラマ22件移動の残作業）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/amelie-db-secrets-note-0903
origin/claude/amelie-shelf-retrigger-0903,merged,1,0,0,chore: DB移行一度きり便のpath起動トリガー用に再push,https://github.com/tamago2022/joy-relief-station/compare/main...claude/amelie-shelf-retrigger-0903
origin/claude/amelie-flicker-fix-0904,merged,1,0,0,fix: 「この曲から続く道」を「こちらも」の直前へ移動,https://github.com/tamago2022/joy-relief-station/compare/main...claude/amelie-flicker-fix-0904
origin/claude/amelie-lovable-publish-blocked-0903,merged,1,0,0,docs: Lovable公開が袋小路（公開用Chrome暴走）と進捗をTASK_BOARD/PENDING_DECISIONSへ記録,https://github.com/tamago2022/joy-relief-station/compare/main...claude/amelie-lovable-publish-blocked-0903
origin/claude/dance-grid-rescue-0904,merged,1,0,0,style: prettier整形（管理画面フリーズ緩和マージ分）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/dance-grid-rescue-0904
origin/nostalgia-clean,merged,1,0,0,feat: 世界の暮らし棚とノスタルジー棚を感情でつなぐ関連導線を追加,https://github.com/tamago2022/joy-relief-station/compare/main...nostalgia-clean
origin/white-screen-report,merged,1,0,0,T027「白画面とフリーズ」: 実端末の白画面記録を管理画面で見えるようにする,https://github.com/tamago2022/joy-relief-station/compare/main...white-screen-report
origin/claude/artist-unlinked-cards-0905,merged,0,0,0,fix(見回り): 曲ページ「アーティスト未接続」を一度きり便で解消（7番セッション）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/artist-unlinked-cards-0905
origin/claude/home-tags-playlist-cards-0904,merged,0,0,0,feat: プレイリストの曲を補給所にもカードとして登録（望郷・帰れない歌テーマ8枚＋裏タグ）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/home-tags-playlist-cards-0904
origin/claude/q39-copy-review-0904,merged,0,0,0,feat: 曲ページのコピー選び画面を追加（案件#39・A〜E5案×5曲）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/q39-copy-review-0904
origin/claude/taskboard-audit-close-0904,merged,0,0,0,docs: 台帳監査で「作業中/push済み」15件の本番反映を実測確認・確認待ちへ更新,https://github.com/tamago2022/joy-relief-station/compare/main...claude/taskboard-audit-close-0904
origin/claude/watchlike-count-10-0904,merged,0,0,0,feat: 「こちらも」の表示件数をサイト全体で10本に統一,https://github.com/tamago2022/joy-relief-station/compare/main...claude/watchlike-count-10-0904
origin/codex/bokemaru-pwa,merged,0,0,0,fix: adapt Bokemaru demo to taste profile,https://github.com/tamago2022/joy-relief-station/compare/main...codex/bokemaru-pwa
origin/main,merged,0,0,0,docs: 発車待ち#26「止まっているタスク56件」の独立検品6件PASS・3件FAILを記録,https://github.com/tamago2022/joy-relief-station/compare/main...main
origin/release/stevie-lately-jodeci-0905,merged,0,0,0,fix: Stevie Wonder『Lately』のコピーを事実ベースで強化（案件#315）,https://github.com/tamago2022/joy-relief-station/compare/main...release/stevie-lately-jodeci-0905
origin/feature/17-redesign-door-cards-12680062275518363983,review_large,55,7220,3,feat: 17号扉カードのデザイン再構築,https://github.com/tamago2022/joy-relief-station/compare/main...feature/17-redesign-door-cards-12680062275518363983
origin/jules-healing-music-15917458499201303193,review_large,55,2117,36,fix: clean up duplicate data and correctly inject healing music batch without TS errors,https://github.com/tamago2022/joy-relief-station/compare/main...jules-healing-music-15917458499201303193
origin/fix-release-years-14692124615878586801,review_large,54,1436,1,Acknowledge PR closure and finalize obsolete work,https://github.com/tamago2022/joy-relief-station/compare/main...fix-release-years-14692124615878586801
origin/agent/issue-60-missing-id-classify,review_large,52,3342,4,58号: 実行済み専用Workflowを成果PRから除外,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-missing-id-classify
origin/agent/issue-60-public-seven-repair,review_large,52,727,2,58号: 公開棚7件の実修復を起動,https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-public-seven-repair
origin/agent/issue-60-healing-repair,review_large,52,4622,8,58号: 癒し棚YouTube修復バッチ1 [partial] [skip healing-repair],https://github.com/tamago2022/joy-relief-station/compare/main...agent/issue-60-healing-repair
origin/fix/codex-runner-real-execution,review_large,51,552,3,fix: make bulk ingest report path portable,https://github.com/tamago2022/joy-relief-station/compare/main...fix/codex-runner-real-execution
origin/agent/task-173-work,review_large,47,866,2,feat: AI工場長ダッシュボードを追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/task-173-work
origin/feat/talking-egg-avatar-v0,review_large,46,1231,3,fix: use explicit Node imports in talking egg TTS server function,https://github.com/tamago2022/joy-relief-station/compare/main...feat/talking-egg-avatar-v0
origin/agent/ai-memory-bus-phase4,review_large,44,382,3,fix(memory): retain project and reference metadata,https://github.com/tamago2022/joy-relief-station/compare/main...agent/ai-memory-bus-phase4
origin/agent/good-vibes-os-bottleneck-command-center,review_large,44,366,2,feat: 実行待ち・停止理由・店主操作を司令室データに追加,https://github.com/tamago2022/joy-relief-station/compare/main...agent/good-vibes-os-bottleneck-command-center
origin/claude/x-research-skill-qwju9c,review_large,42,1716,15,x-research skillを開発補助ツールとして取り込み,https://github.com/tamago2022/joy-relief-station/compare/main...claude/x-research-skill-qwju9c
origin/claude/facility-as-artist,review_large,36,315,7,猫キーワードの並びを整形（lint指摘をmainと同数に戻す）,https://github.com/tamago2022/joy-relief-station/compare/main...claude/facility-as-artist
origin/claude/x-research-skill-ready,review_large,36,2033,16,x-research: 当リポジトリでの修正内容をCHANGELOGへ記録,https://github.com/tamago2022/joy-relief-station/compare/main...claude/x-research-skill-ready
origin/claude/travel-inns,review_large,36,380,16,旅の部屋に「日本の美しい宿」棚を新設し、宿10軒のカードを追加,https://github.com/tamago2022/joy-relief-station/compare/main...claude/travel-inns
